# f (Hz), Re{G(jw)}, Im{G(jw)}
0.10000000,0.00001460,0.00088796
0.20000000,0.00001610,0.00178080
0.30000000,0.00002180,0.00267389
0.40000000,0.00003004,0.00356618
0.50000000,0.00003983,0.00445439
0.60000000,0.00006971,0.00532658
0.70000000,0.00010900,0.00624992
0.80000000,0.00012063,0.00715098
0.90000000,0.00014677,0.00802953
1.00000000,0.00022037,0.00895100
1.10000000,0.00023324,0.00986842
1.20000000,0.00027594,0.01074561
1.30000000,0.00035902,0.01169826
1.40000000,0.00037639,0.01261212
1.50000000,0.00047456,0.01350048
1.60000000,0.00051868,0.01448611
1.70000000,0.00056879,0.01537608
1.80000000,0.00069336,0.01636311
1.90000000,0.00071546,0.01729469
2.00000000,0.00087362,0.01823308
2.10000000,0.00089713,0.01923620
2.20000000,0.00103465,0.02013870
2.30000000,0.00110815,0.02120370
2.40000000,0.00121336,0.02210639
2.50000000,0.00134663,0.02320015
2.60000000,0.00142718,0.02412131
2.70000000,0.00161016,0.02523004
2.80000000,0.00167454,0.02617676
2.90000000,0.00189706,0.02730041
3.00000000,0.00195376,0.02827351
3.10000000,0.00220751,0.02941990
3.20000000,0.00226540,0.03041420
3.30000000,0.00254289,0.03159577
3.40000000,0.00261260,0.03260232
3.50000000,0.00290397,0.03383317
3.60000000,0.00300099,0.03484186
3.70000000,0.00329171,0.03613393
3.80000000,0.00343974,0.03713941
3.90000000,0.00370840,0.03849756
4.00000000,0.00394104,0.03950810
4.10000000,0.00416049,0.04092246
4.20000000,0.00451340,0.04197390
4.30000000,0.00465905,0.04340773
4.40000000,0.00514052,0.04457213
4.50000000,0.00521975,0.04595501
4.60000000,0.00577401,0.04730601
4.70000000,0.00586797,0.04857103
4.80000000,0.00639383,0.05012179
4.90000000,0.00664125,0.05128098
5.00000000,0.00704624,0.05297656
5.10000000,0.00756413,0.05416554
5.20000000,0.00779027,0.05587319
5.30000000,0.00853542,0.05731876
5.40000000,0.00868107,0.05883505
5.50000000,0.00941673,0.06061961
5.60000000,0.00979190,0.06192200
5.70000000,0.01032007,0.06391256
5.80000000,0.01113063,0.06531909
5.90000000,0.01139957,0.06722086
6.00000000,0.01240352,0.06908841
6.10000000,0.01277179,0.07062835
6.20000000,0.01357342,0.07286724
6.30000000,0.01451293,0.07437747
6.40000000,0.01495312,0.07659214
6.50000000,0.01622879,0.07867053
6.60000000,0.01674987,0.08040996
6.70000000,0.01777561,0.08296790
6.80000000,0.01905126,0.08470438
6.90000000,0.01963900,0.08715406
7.00000000,0.02122597,0.08964464
7.10000000,0.02213295,0.09149683
7.20000000,0.02330880,0.09444522
7.30000000,0.02516563,0.09663597
7.40000000,0.02597486,0.09913795
7.50000000,0.02784195,0.10223727
7.60000000,0.02957916,0.10427970
7.70000000,0.03082370,0.10750713
7.80000000,0.03331665,0.11052208
7.90000000,0.03486336,0.11285976
8.00000000,0.03686702,0.11657953
8.10000000,0.03982380,0.11938886
8.20000000,0.04146562,0.12237173
8.30000000,0.04435556,0.12636847
8.40000000,0.04761214,0.12902667
8.50000000,0.04976739,0.13275701
8.60000000,0.05362797,0.13688398
8.70000000,0.05716863,0.13957230
8.80000000,0.06021327,0.14396421
8.90000000,0.06515130,0.14810981
9.00000000,0.06914849,0.15099037
9.10000000,0.07339312,0.15588533
9.20000000,0.07957256,0.15994399
9.30000000,0.08434555,0.16306032
9.40000000,0.09009310,0.16826412
9.50000000,0.09776881,0.17209577
9.60000000,0.10373246,0.17530705
9.70000000,0.11132641,0.18054976
9.80000000,0.12086668,0.18389785
9.90000000,0.12849183,0.18682864
10.00000000,0.13832287,0.19166543
10.10000000,0.15017895,0.19404704
10.20000000,0.15994330,0.19597942
10.30000000,0.17237289,0.19965287
10.40000000,0.18696985,0.20020496
10.50000000,0.19920428,0.19994429
10.60000000,0.21436044,0.20123022
10.70000000,0.23179511,0.19858554
10.80000000,0.24636933,0.19436393
10.90000000,0.26368794,0.19150870
11.00000000,0.28318345,0.18384811
11.10000000,0.29893138,0.17354112
11.20000000,0.31649162,0.16462242
11.30000000,0.33573510,0.15030273
11.40000000,0.34993697,0.13236486
11.50000000,0.36409804,0.11642422
11.60000000,0.37917691,0.09540901
11.70000000,0.38799349,0.07053555
11.80000000,0.39440399,0.04910344
11.90000000,0.40140572,0.02432496
12.00000000,0.40196506,-0.00358029
12.10000000,0.39821500,-0.02640876
12.20000000,0.39583163,-0.04979647
12.30000000,0.38844015,-0.07530310
12.40000000,0.37597656,-0.09524691
12.50000000,0.36621616,-0.11285578
12.60000000,0.35400413,-0.13212395
12.70000000,0.33701659,-0.14713877
12.80000000,0.32317001,-0.15753622
12.90000000,0.30968833,-0.16960933
13.00000000,0.29248392,-0.17975956
13.10000000,0.27709127,-0.18430372
13.20000000,0.26457314,-0.19007504
13.30000000,0.24979420,-0.19614566
13.40000000,0.23455757,-0.19751433
13.50000000,0.22358039,-0.19841997
13.60000000,0.21204191,-0.20117658
13.70000000,0.19855580,-0.20159587
13.80000000,0.18845711,-0.19931952
13.90000000,0.17986234,-0.19937119
14.00000000,0.16932953,-0.19949425
14.10000000,0.15947333,-0.19627720
14.20000000,0.15288014,-0.19398753
14.30000000,0.14541638,-0.19344323
14.40000000,0.13651776,-0.19115145
14.50000000,0.13043043,-0.18720330
14.60000000,0.12538620,-0.18552929
14.70000000,0.11866143,-0.18419711
14.80000000,0.11215222,-0.18039633
14.90000000,0.10837455,-0.17724405
15.00000000,0.10398427,-0.17589418
15.10000000,0.09810530,-0.17364076
15.20000000,0.09395673,-0.16960578
15.30000000,0.09123259,-0.16738201
15.40000000,0.08719507,-0.16605227
15.50000000,0.08244310,-0.16305644
15.60000000,0.07996065,-0.15958680
15.70000000,0.07767607,-0.15799622
15.80000000,0.07394520,-0.15649587
15.90000000,0.07042347,-0.15316928
16.00000000,0.06890086,-0.15045602
16.10000000,0.06682841,-0.14923373
16.20000000,0.06345471,-0.14751069
16.30000000,0.06100944,-0.14423766
16.40000000,0.05998550,-0.14216409
16.50000000,0.05805319,-0.14114477
16.60000000,0.05508803,-0.13924085
16.70000000,0.05345327,-0.13623579
16.80000000,0.05269938,-0.13462794
16.90000000,0.05090061,-0.13372539
17.00000000,0.04834970,-0.13175103
17.10000000,0.04725860,-0.12905857
17.20000000,0.04667441,-0.12776816
17.30000000,0.04502585,-0.12695591
17.40000000,0.04283660,-0.12500222
17.50000000,0.04209285,-0.12259092
17.60000000,0.04164766,-0.12151590
17.70000000,0.04017229,-0.12078184
17.80000000,0.03825981,-0.11893895
17.90000000,0.03772345,-0.11673692
18.00000000,0.03741723,-0.11579419
18.10000000,0.03613262,-0.11516043
18.20000000,0.03441712,-0.11348669
18.30000000,0.03398566,-0.11143215
18.40000000,0.03382558,-0.11055390
18.50000000,0.03274384,-0.11002090
18.60000000,0.03117314,-0.10856431
18.70000000,0.03075727,-0.10660522
18.80000000,0.03072703,-0.10574397
18.90000000,0.02987630,-0.10530680
19.00000000,0.02842619,-0.10410708
19.10000000,0.02792621,-0.10222710
19.20000000,0.02802166,-0.10130523
19.30000000,0.02740878,-0.10094881
19.40000000,0.02611132,-0.10004044
19.50000000,0.02545344,-0.09827458
19.60000000,0.02562868,-0.09722265
19.70000000,0.02527903,-0.09689934
19.80000000,0.02415313,-0.09627157
19.90000000,0.02330705,-0.09471108
20.00000000,0.02345731,-0.09348480
20.10000000,0.02337218,-0.09311815
20.20000000,0.02250564,-0.09273983
20.30000000,0.02149939,-0.09149758
20.40000000,0.02148178,-0.09009743
20.50000000,0.02161681,-0.08958596
20.60000000,0.02106411,-0.08936847
20.70000000,0.02003107,-0.08853499
20.80000000,0.01970380,-0.08709019
20.90000000,0.01996509,-0.08632476
21.00000000,0.01974597,-0.08614417
21.10000000,0.01887169,-0.08569921
21.20000000,0.01817491,-0.08444411
21.30000000,0.01836038,-0.08336924
21.40000000,0.01846042,-0.08307311
21.50000000,0.01789847,-0.08289382
21.60000000,0.01700878,-0.08205325
21.70000000,0.01686057,-0.08078875
21.80000000,0.01715821,-0.08020831
21.90000000,0.01696739,-0.08010113
22.00000000,0.01619500,-0.07972124
22.10000000,0.01560485,-0.07861661
22.20000000,0.01580426,-0.07764279
22.30000000,0.01596173,-0.07739015
22.40000000,0.01553189,-0.07728977
22.50000000,0.01474236,-0.07665432
22.60000000,0.01451678,-0.07550105
22.70000000,0.01483781,-0.07487729
22.80000000,0.01481472,-0.07478824
22.90000000,0.01423071,-0.07459187
23.00000000,0.01356127,-0.07374325
23.10000000,0.01362626,-0.07274072
23.20000000,0.01390737,-0.07237475
23.30000000,0.01373934,-0.07234378
23.40000000,0.01307181,-0.07202116
23.50000000,0.01260054,-0.07106775
23.60000000,0.01281253,-0.07024823
23.70000000,0.01303342,-0.07004626
23.80000000,0.01274417,-0.07002472
23.90000000,0.01207897,-0.06960236
24.00000000,0.01177861,-0.06863142
24.10000000,0.01207258,-0.06797665
24.20000000,0.01221863,-0.06786344
24.30000000,0.01186698,-0.06783450
24.40000000,0.01123590,-0.06734741
24.50000000,0.01104753,-0.06641242
24.60000000,0.01136350,-0.06585970
24.70000000,0.01146200,-0.06581257
24.80000000,0.01109686,-0.06577515
24.90000000,0.01049507,-0.06525627
25.00000000,0.01038136,-0.06436638
25.10000000,0.01069779,-0.06387840
25.20000000,0.01079481,-0.06385785
25.30000000,0.01041941,-0.06381550
25.40000000,0.00986134,-0.06333036
25.50000000,0.00973840,-0.06248139
25.60000000,0.01005728,-0.06201110
25.70000000,0.01017263,-0.06199049
25.80000000,0.00985002,-0.06198983
25.90000000,0.00929502,-0.06154022
26.00000000,0.00914363,-0.06074773
26.10000000,0.00945142,-0.06025017
26.20000000,0.00960452,-0.06019844
26.30000000,0.00935506,-0.06023535
26.40000000,0.00883766,-0.05990924
